Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
1940 SRTF_X_16+ (allow younger) ,5113-2,5,5,5,5,5,5,0,0,0,0,0,0
1940 SRTF_X_16+ (allow younger) ,5113-3,9.35,9,9,10,10,9,2,2,0,0,1,5
1874 SRTF_X_16+ (allow younger) ,5113-1,4.9,4,5,5,6,5,0,0,0,0,0,0
1874 SRTF_X_16+ (allow younger) ,5113-2,7.95,8,6,11,8,7,0,0,0,0,0,0
1874 SRTF_X_16+ (allow younger) ,5113-3,11.85,12,12,12,11,12,2,3,2,2,3,12
1869 SRTF_F_16+ (allow younger) ,5113-1,3.5,4,4,3,3,3,0,0,0,0,0,0
1869 SRTF_F_16+ (allow younger) ,5113-2,3.3,4,1,5,4,3,0,0,0,0,0,0
1869 SRTF_F_16+ (allow younger) ,5113-3,11.05,12,10,12,11,10,9,6,6,5,6,32
1872 SRTF_F_16+ (allow younger) ,5113-1,5.8,6,4,6,7,7,0,0,0,0,0,0
1872 SRTF_F_16+ (allow younger) ,5113-2,2.65,2,2,3,3,4,0,0,0,0,0,0
1872 SRTF_F_16+ (allow younger) ,5113-3,13.35,13,13,14,13,14,8,7,7,8,9,39
1867 SRTF_F_16+ (allow younger) ,5113-1,3,3,1,4,4,4,0,0,0,0,0,0
1867 SRTF_F_16+ (allow younger) ,5113-2,0,0,0,0,0,0,0,0,0,0,0,0
1867 SRTF_F_16+ (allow younger) ,5113-3,10.4,11,9,12,11,9,9,8,6,6,7,36
1870 SRTF_F_16+ (allow younger) ,5113-1,2,1,1,3,3,3,0,0,0,0,0,0
1870 SRTF_F_16+ (allow younger) ,5113-2,0.55,0,1,0,1,1,0,0,0,0,0,0
1870 SRTF_F_16+ (allow younger) ,5113-3,12.3,13,12,13,12,11,10,9,8,9,9,45
1875 SRTF_X_16+ (allow younger) ,5113-1,13.95,15,13,16,13,12,0,0,0,0,0,0
1875 SRTF_X_16+ (allow younger) ,5113-2,12.5,11,14,14,11,12,0,0,0,0,0,0
1875 SRTF_X_16+ (allow younger) ,5113-3,14.25,15,14,14,14,14,0,0,0,0,0,0

Judge,P avg,E avg,F avg,M avg,C avg,V avg
4981-1,8.04,8.13,7.6,8.27,8.33,8.0
4981-2,9.19,9.33,9.13,8.73,9.87,9.0
4981-3,5.51,6.8,3.4,6.07,6.0,5.67

4981
Entry,P avg,4981-1,4981-2,4981-3
1325 SRTF_F_12-15 ,12.9,12.4,11.45,14.85
1332 SRTF_X_12-15 ,10.48,11.75,11,8.7
1338 SRTF_X_12-15 ,10.4,10.3,10.9,10
1324 SRTF_F_12-15 ,9.85,10.3,10.05,9.2
1327 SRTF_F_12-15 ,8.65,9.2,8.0,8.75
1328 SRTF_X_12-15 ,8.45,8.6,10.75,6
1337 SRTF_X_12-15 ,8.22,9.1,10.35,5.2
1330 SRTF_F_12-15 ,6.58,8,7.95,3.8
1335 SRTF_X_12-15 ,6.45,6.45,8.4,4.5
1326 SRTF_F_12-15 ,6.35,8.5,8.7,1.85
1334 SRTF_X_12-15 ,5.28,3.25,10.95,1.65
1333 SRTF_X_12-15 ,5.23,6.25,6.8,2.65
1336 SRTF_X_12-15 ,5.2,5.75,7.4,2.45
1331 SRTF_F_12-15 ,4.95,5.5,7.15,2.2
1329 SRTF_F_12-15 ,4.72,5.2,8.05,0.9

4981 Relative Rankings
Entry,Rank,4981-1,4981-2,4981-3
1325 SRTF_F_12-15 ,1,1,1,1
1332 SRTF_X_12-15 ,2,2,2,5
1338 SRTF_X_12-15 ,3,3,4,2
1324 SRTF_F_12-15 ,4,4,7,3
1327 SRTF_F_12-15 ,5,5,11,4
1328 SRTF_X_12-15 ,6,7,5,6
1337 SRTF_X_12-15 ,7,6,6,7
1330 SRTF_F_12-15 ,8,9,12,9
1335 SRTF_X_12-15 ,9,10,9,8
1326 SRTF_F_12-15 ,10,8,8,13
1334 SRTF_X_12-15 ,11,15,3,14
1333 SRTF_X_12-15 ,12,11,15,10
1336 SRTF_X_12-15 ,13,12,13,11
1331 SRTF_F_12-15 ,14,13,14,12
1329 SRTF_F_12-15 ,15,14,10,15

Entry,Judge,P,E,F,M,C,V,E adj,F adj,M adj,C adj,V adj,Total adj
1338 SRTF_X_12-15 ,4981-1,10.3,11,10,11,10,9,0,0,0,0,0,0
1338 SRTF_X_12-15 ,4981-2,10.9,11,12,10,12,9,0,0,0,0,0,0
1338 SRTF_X_12-15 ,4981-3,10,12,8,10,10,10,0,0,0,0,0,0
1332 SRTF_X_12-15 ,4981-1,11.75,12,11,12,12,12,0,0,0,0,0,0
1332 SRTF_X_12-15 ,4981-2,11,11,11,11,12,10,0,0,0,-1,0,-1
1332 SRTF_X_12-15 ,4981-3,8.7,10,7,8,9,10,0,0,0,0,0,0
1329 SRTF_F_12-15 ,4981-1,5.2,6,5,4,5,6,0,0,0,0,0,0
1329 SRTF_F_12-15 ,4981-2,8.05,8,7,8,10,8,4,2,4,6,4,20
1329 SRTF_F_12-15 ,4981-3,0.9,3,0,0,1,0,0,0,0,0,0,0
1331 SRTF_F_12-15 ,4981-1,5.5,5,5,6,6,6,0,0,0,0,0,0
1331 SRTF_F_12-15 ,4981-2,7.15,8,8,6,7,6,2,3,0,1,0,6
1331 SRTF_F_12-15 ,4981-3,2.2,2,2,3,1,3,0,0,0,0,0,0
1327 SRTF_F_12-15 ,4981-1,9.2,9,9,10,9,9,0,0,0,0,0,0
1327 SRTF_F_12-15 ,4981-2,8.0,7,9,8,9,7,0,0,1,2,0,3
1327 SRTF_F_12-15 ,4981-3,8.75,12,7,8,9,7,0,0,0,0,0,0
1328 SRTF_X_12-15 ,4981-1,8.6,9,8,9,9,8,0,0,0,0,0,0
1328 SRTF_X_12-15 ,4981-2,10.75,11,10,11,11,11,0,0,0,0,2,2
1328 SRTF_X_12-15 ,4981-3,6,8,2,7,8,6,0,0,0,0,0,0
1333 SRTF_X_12-15 ,4981-1,6.25,5,6,7,7,7,-1,0,0,0,0,-1
1333 SRTF_X_12-15 ,4981-2,6.8,8,6,6,7,7,1,0,0,1,2,4
1333 SRTF_X_12-15 ,4981-3,2.65,5,0,1,3,5,0,0,0,0,0,0
1336 SRTF_X_12-15 ,4981-1,5.75,5,6,6,7,5,0,0,0,0,0,0
1336 SRTF_X_12-15 ,4981-2,7.4,8,7,7,8,7,6,3,4,4,4,21
1336 SRTF_X_12-15 ,4981-3,2.45,1,0,5,4,4,0,0,0,0,0,0
1335 SRTF_X_12-15 ,4981-1,6.45,7,6,7,6,6,0,0,0,0,0,0
1335 SRTF_X_12-15 ,4981-2,8.4,8,9,8,9,8,1,0,0,0,1,2
1335 SRTF_X_12-15 ,4981-3,4.5,4,3,7,4,5,0,0,0,0,0,0
1337 SRTF_X_12-15 ,4981-1,9.1,9,8,10,10,9,0,0,0,0,0,0
1337 SRTF_X_12-15 ,4981-2,10.35,10,10,11,11,10,1,0,0,1,1,3
1337 SRTF_X_12-15 ,4981-3,5.2,7,3,6,6,4,0,0,0,0,0,0
1334 SRTF_X_12-15 ,4981-1,3.25,3,4,3,3,3,0,0,0,0,0,0
1334 SRTF_X_12-15 ,4981-2,10.95,11,11,10,11,12,8,6,6,8,9,37
1334 SRTF_X_12-15 ,4981-3,1.65,2,0,2,3,2,0,0,0,0,0,0
1325 SRTF_F_12-15 ,4981-1,12.4,13,12,12,13,12,0,0,0,1,0,1
1325 SRTF_F_12-15 ,4981-2,11.45,12,11,12,11,11,-2,-2,-2,-2,-2,-10
1325 SRTF_F_12-15 ,4981-3,14.85,17,12,17,14,14,0,0,0,0,0,0
1326 SRTF_F_12-15 ,4981-1,8.5,9,7,9,9,9,0,0,0,0,0,0
1326 SRTF_F_12-15 ,4981-2,8.7,8,9,8,9,10,0,1,0,2,2,5
1326 SRTF_F_12-15 ,4981-3,1.85,2,0,3,4,1,0,0,0,0,0,0
1324 SRTF_F_12-15 ,4981-1,10.3,11,9,10,11,11,0,0,0,0,1,1
1324 SRTF_F_12-15 ,4981-2,10.05,10,9,10,11,11,0,-1,-2,0,0,-3
1324 SRTF_F_12-15 ,4981-3,9.2,11,7,10,10,8,0,0,0,0,0,0
1330 SRTF_F_12-15 ,4981-1,8,8,8,8,8,8,0,0,0,0,0,0
1330 SRTF_F_12-15 ,4981-2,7.95,9,8,5,10,8,5,3,1,6,5,20
1330 SRTF_F_12-15 ,4981-3,3.8,6,0,4,4,6,0,0,0,0,0,0

Judge,P avg,E avg,F avg,M avg,C avg,V avg
4984-1,5.37,5.5,5.0,5.6,5.5,5.3
4984-2,7.32,8.5,6.3,6.0,7.3,8.8
4984-3,5.82,7.1,5.3,5.2,5.9,5.3

4984
Entry,P avg,4984-1,4984-2,4984-3
1319 SRTF_X_11-12 ,9.83,7.7,11,10.8
1318 SRTF_X_11-12 ,9.75,9.6,9.95,9.7
1317 SRTF_F_11-12 ,8.6,7.2,7.9,10.7
1314 SRTF_F_11-12 ,7.55,7,10.35,5.3
1323 SRTF_M_11-12 ,6.07,6.05,6,6.15
1320 SRTF_X_11-12 ,5.32,6.75,6.35,2.85
1315 SRTF_F_11-12 ,5.05,5.2,6,3.95
1321 SRTF_X_11-12 ,3.45,2,4.4,3.95
1322 SRTF_X_11-12 ,3.12,2,5.2,2.15
1316 SRTF_F_11-12 ,2.93,0.15,6,2.65

4984 Relative Rankings
Entry,Rank,4984-1,4984-2,4984-3
1319 SRTF_X_11-12 ,1,2,1,1
1318 SRTF_X_11-12 ,2,1,3,3
1317 SRTF_F_11-12 ,3,3,4,2
1314 SRTF_F_11-12 ,4,4,2,5
1323 SRTF_M_11-12 ,5,6,6,4
1320 SRTF_X_11-12 ,6,5,5,8
1315 SRTF_F_11-12 ,7,7,7,6
1321 SRTF_X_11-12 ,8,8,10,7
1322 SRTF_X_11-12 ,9,9,9,10
1316 SRTF_F_11-12 ,10,10,8,9

Entry,Judge,P,E,F,M,C,V,E adj,F adj,M adj,C adj,V adj,Total adj
1316 SRTF_F_11-12 ,4984-1,0.15,0,0,0,0,1,0,0,0,0,0,0
1316 SRTF_F_11-12 ,4984-2,6,8,4,3,7,9,0,1,2,0,0,3
1316 SRTF_F_11-12 ,4984-3,2.65,4,3,0,6,0,-3,-2,-2,0,-6,-13
1318 SRTF_X_11-12 ,4984-1,9.6,10,9,10,10,9,0,0,0,0,0,0
1318 SRTF_X_11-12 ,4984-2,9.95,11,8,11,10,10,-1,-1,-1,0,0,-3
1318 SRTF_X_11-12 ,4984-3,9.7,11,7,11,8,12,-2,-3,-2,-4,-2,-13
1323 SRTF_M_11-12 ,4984-1,6.05,6,5,6,8,6,0,0,0,0,0,0
1323 SRTF_M_11-12 ,4984-2,6,8,4,3,8,8,0,0,-1,-1,0,-2
1323 SRTF_M_11-12 ,4984-3,6.15,6,7,4,5,9,-5,-2,-5,-5,0,-17
1317 SRTF_F_11-12 ,4984-1,7.2,8,8,7,6,6,0,0,0,0,0,0
1317 SRTF_F_11-12 ,4984-2,7.9,10,8,8,5,7,-1,0,1,-2,-1,-3
1317 SRTF_F_11-12 ,4984-3,10.7,14,9,9,12,9,0,-2,0,0,0,-2
1314 SRTF_F_11-12 ,4984-1,7,7,7,7,7,7,0,0,0,0,0,0
1314 SRTF_F_11-12 ,4984-2,10.35,12,8,11,9,12,0,0,0,1,1,2
1314 SRTF_F_11-12 ,4984-3,5.3,8,3,6,6,3,1,0,0,1,0,2
1319 SRTF_X_11-12 ,4984-1,7.7,8,6,9,8,8,0,0,0,0,0,0
1319 SRTF_X_11-12 ,4984-2,11,11,11,14,8,10,3,0,0,0,0,3
1319 SRTF_X_11-12 ,4984-3,10.8,13,9,13,11,7,0,-2,0,0,-3,-5
1321 SRTF_X_11-12 ,4984-1,2,1,3,2,2,2,0,0,0,0,0,0
1321 SRTF_X_11-12 ,4984-2,4.4,4,5,1,6,7,0,1,0,0,0,1
1321 SRTF_X_11-12 ,4984-3,3.95,4,4,3,3,6,-2,-2,-3,-4,0,-11
1322 SRTF_X_11-12 ,4984-1,2,2,2,2,2,2,0,0,0,0,0,0
1322 SRTF_X_11-12 ,4984-2,5.2,5,5,3,6,8,0,0,0,0,0,0
1322 SRTF_X_11-12 ,4984-3,2.15,3,3,1,1,2,0,0,-2,-2,-1,-5
1315 SRTF_F_11-12 ,4984-1,5.2,6,4,6,5,5,0,0,0,0,0,0
1315 SRTF_F_11-12 ,4984-2,6,8,4,3,7,9,1,0,1,1,2,5
1315 SRTF_F_11-12 ,4984-3,3.95,5,4,4,4,2,3,1,0,1,0,5
1320 SRTF_X_11-12 ,4984-1,6.75,7,6,7,7,7,0,0,0,0,0,0
1320 SRTF_X_11-12 ,4984-2,6.35,8,6,3,7,8,-1,0,1,-1,-1,-2
1320 SRTF_X_11-12 ,4984-3,2.85,3,4,1,3,3,0,0,0,0,0,0

Difficulty

Judge Info,d,diffL0.5,diffL1,diffL2,diffL3,diffL4,diffL5,diffL6,diffL7,diffL8,Avg Clicks/Heat,Heat Count
4987-41 Dr,3.67,94,188,191,94,11,0,0,0,0,17.52,33
4987-42 Dr,3.67,94,188,191,94,11,0,0,0,0,17.52,33

4987 Dr Avg Diff vs Judge Scores
Entry,Davg,4987-41 Dr,4987-42 Dr
623 SRIF_F_19 ,6.69,6.69,6.69
622 SRIF_F_19 ,6.53,6.53,6.53
602 SRIF_F_16 (S) ,6.05,6.05,6.05
611 SRIF_F_17 (S) ,5.46,5.46,5.46
619 SRIF_F_18 (S) ,5.13,5.13,5.13
621 SRIF_F_19 ,4.86,4.86,4.86
610 SRIF_F_17 (S) ,4.67,4.67,4.67
616 SRIF_F_18 (S) ,4.59,4.59,4.59
612 SRIF_F_17 (S) ,4.31,4.31,4.31
626 SRIF_F_20-29 ,4.22,4.22,4.22
1805 SRIF_F_16 (S) ,4.17,4.17,4.17
624 SRIF_F_19 ,4.11,4.11,4.11
630 SRIF_F_20-29 ,3.97,3.97,3.97
618 SRIF_F_18 (S) ,3.66,3.66,3.66
617 SRIF_F_18 (S) ,3.62,3.62,3.62
606 SRIF_F_17 (S) ,3.59,3.59,3.59
607 SRIF_F_17 (S) ,3.54,3.54,3.54
599 SRIF_F_16 (S) ,3.47,3.47,3.47
625 SRIF_F_20-29 ,3.44,3.44,3.44
604 SRIF_F_16 (S) ,3.43,3.43,3.43
615 SRIF_F_18 (S) ,3.15,3.15,3.15
603 SRIF_F_16 (S) ,2.98,2.98,2.98
613 SRIF_F_17 (S) ,2.92,2.92,2.92
608 SRIF_F_17 (S) ,2.9,2.9,2.9
627 SRIF_F_20-29 ,2.85,2.85,2.85
631 SRIF_F_20-29 ,2.85,2.85,2.85
601 SRIF_F_16 (S) ,2.73,2.73,2.73
620 SRIF_F_18 (S) ,2.56,2.56,2.56
609 SRIF_F_17 (S) ,2.36,2.36,2.36
614 SRIF_F_17 (S) ,1.91,1.91,1.91
629 SRIF_F_20-29 ,1.67,1.67,1.67
605 SRIF_F_16 (S) ,1.39,1.39,1.39
600 SRIF_F_16 (S) ,1.2,1.2,1.2

4987 Dr Relative Rankings
Entry,Rank,4987-41 Dr,4987-42 Dr
623 SRIF_F_19 ,1,1,1
622 SRIF_F_19 ,2,2,2
602 SRIF_F_16 (S) ,3,3,3
611 SRIF_F_17 (S) ,4,4,4
619 SRIF_F_18 (S) ,5,5,5
621 SRIF_F_19 ,6,6,6
610 SRIF_F_17 (S) ,7,7,7
616 SRIF_F_18 (S) ,8,8,8
612 SRIF_F_17 (S) ,9,9,9
626 SRIF_F_20-29 ,10,10,10
1805 SRIF_F_16 (S) ,11,11,11
624 SRIF_F_19 ,12,12,12
630 SRIF_F_20-29 ,13,13,13
618 SRIF_F_18 (S) ,14,14,14
617 SRIF_F_18 (S) ,15,15,15
606 SRIF_F_17 (S) ,16,16,16
607 SRIF_F_17 (S) ,17,17,17
599 SRIF_F_16 (S) ,18,18,18
625 SRIF_F_20-29 ,19,19,19
604 SRIF_F_16 (S) ,20,20,20
615 SRIF_F_18 (S) ,21,21,21
603 SRIF_F_16 (S) ,22,22,22
613 SRIF_F_17 (S) ,23,23,23
608 SRIF_F_17 (S) ,24,24,24
627 SRIF_F_20-29 ,25,25,25
631 SRIF_F_20-29 ,26,26,26
601 SRIF_F_16 (S) ,27,27,27
620 SRIF_F_18 (S) ,28,28,28
609 SRIF_F_17 (S) ,29,29,29
614 SRIF_F_17 (S) ,30,30,30
629 SRIF_F_20-29 ,31,31,31
605 SRIF_F_16 (S) ,32,32,32
600 SRIF_F_16 (S) ,33,33,33

Entry,Judge Info,d,diffL0.5,diffL1,diffL2,diffL3,diffL4,diffL5,diffL6,diffL7,diffL8,Total Clicks
609 SRIF_F_17 (S) ,4987-41 Dr,2.36,2,5,3,2,0,0,0,0,0,12
609 SRIF_F_17 (S) ,4987-42 Dr,2.36,2,5,3,2,0,0,0,0,0,12
603 SRIF_F_16 (S) ,4987-41 Dr,2.98,3,6,6,1,0,0,0,0,0,16
603 SRIF_F_16 (S) ,4987-42 Dr,2.98,3,6,6,1,0,0,0,0,0,16
630 SRIF_F_20-29 ,4987-41 Dr,3.97,2,2,9,4,0,0,0,0,0,17
630 SRIF_F_20-29 ,4987-42 Dr,3.97,2,2,9,4,0,0,0,0,0,17
611 SRIF_F_17 (S) ,4987-41 Dr,5.46,0,6,8,8,0,0,0,0,0,22
611 SRIF_F_17 (S) ,4987-42 Dr,5.46,0,6,8,8,0,0,0,0,0,22
601 SRIF_F_16 (S) ,4987-41 Dr,2.73,2,9,2,2,0,0,0,0,0,15
601 SRIF_F_16 (S) ,4987-42 Dr,2.73,2,9,2,2,0,0,0,0,0,15
618 SRIF_F_18 (S) ,4987-41 Dr,3.66,2,6,8,2,0,0,0,0,0,18
618 SRIF_F_18 (S) ,4987-42 Dr,3.66,2,6,8,2,0,0,0,0,0,18
600 SRIF_F_16 (S) ,4987-41 Dr,1.2,3,1,3,0,0,0,0,0,0,7
600 SRIF_F_16 (S) ,4987-42 Dr,1.2,3,1,3,0,0,0,0,0,0,7
612 SRIF_F_17 (S) ,4987-41 Dr,4.31,2,5,10,3,0,0,0,0,0,20
612 SRIF_F_17 (S) ,4987-42 Dr,4.31,2,5,10,3,0,0,0,0,0,20
617 SRIF_F_18 (S) ,4987-41 Dr,3.62,4,11,5,1,0,0,0,0,0,21
617 SRIF_F_18 (S) ,4987-42 Dr,3.62,4,11,5,1,0,0,0,0,0,21
621 SRIF_F_19 ,4987-41 Dr,4.86,6,9,4,4,1,0,0,0,0,24
621 SRIF_F_19 ,4987-42 Dr,4.86,6,9,4,4,1,0,0,0,0,24
613 SRIF_F_17 (S) ,4987-41 Dr,2.92,6,4,4,2,0,0,0,0,0,16
613 SRIF_F_17 (S) ,4987-42 Dr,2.92,6,4,4,2,0,0,0,0,0,16
623 SRIF_F_19 ,4987-41 Dr,6.69,3,14,11,5,0,0,0,0,0,33
623 SRIF_F_19 ,4987-42 Dr,6.69,3,14,11,5,0,0,0,0,0,33
625 SRIF_F_20-29 ,4987-41 Dr,3.44,2,2,3,5,1,0,0,0,0,13
625 SRIF_F_20-29 ,4987-42 Dr,3.44,2,2,3,5,1,0,0,0,0,13
605 SRIF_F_16 (S) ,4987-41 Dr,1.39,4,3,2,0,0,0,0,0,0,9
605 SRIF_F_16 (S) ,4987-42 Dr,1.39,4,3,2,0,0,0,0,0,0,9
615 SRIF_F_18 (S) ,4987-41 Dr,3.15,1,2,3,6,0,0,0,0,0,12
615 SRIF_F_18 (S) ,4987-42 Dr,3.15,1,2,3,6,0,0,0,0,0,12
608 SRIF_F_17 (S) ,4987-41 Dr,2.9,6,2,3,2,1,0,0,0,0,14
608 SRIF_F_17 (S) ,4987-42 Dr,2.9,6,2,3,2,1,0,0,0,0,14
629 SRIF_F_20-29 ,4987-41 Dr,1.67,0,2,3,2,0,0,0,0,0,7
629 SRIF_F_20-29 ,4987-42 Dr,1.67,0,2,3,2,0,0,0,0,0,7
602 SRIF_F_16 (S) ,4987-41 Dr,6.05,1,12,15,2,0,0,0,0,0,30
602 SRIF_F_16 (S) ,4987-42 Dr,6.05,1,12,15,2,0,0,0,0,0,30
610 SRIF_F_17 (S) ,4987-41 Dr,4.67,2,12,7,3,0,0,0,0,0,24
610 SRIF_F_17 (S) ,4987-42 Dr,4.67,2,12,7,3,0,0,0,0,0,24
627 SRIF_F_20-29 ,4987-41 Dr,2.85,3,1,5,2,1,0,0,0,0,12
627 SRIF_F_20-29 ,4987-42 Dr,2.85,3,1,5,2,1,0,0,0,0,12
616 SRIF_F_18 (S) ,4987-41 Dr,4.59,4,2,4,7,1,0,0,0,0,18
616 SRIF_F_18 (S) ,4987-42 Dr,4.59,4,2,4,7,1,0,0,0,0,18
620 SRIF_F_18 (S) ,4987-41 Dr,2.56,4,7,3,1,0,0,0,0,0,15
620 SRIF_F_18 (S) ,4987-42 Dr,2.56,4,7,3,1,0,0,0,0,0,15
624 SRIF_F_19 ,4987-41 Dr,4.11,0,5,5,5,1,0,0,0,0,16
624 SRIF_F_19 ,4987-42 Dr,4.11,0,5,5,5,1,0,0,0,0,16
631 SRIF_F_20-29 ,4987-41 Dr,2.85,1,3,4,4,0,0,0,0,0,12
631 SRIF_F_20-29 ,4987-42 Dr,2.85,1,3,4,4,0,0,0,0,0,12
607 SRIF_F_17 (S) ,4987-41 Dr,3.54,2,3,5,2,2,0,0,0,0,14
607 SRIF_F_17 (S) ,4987-42 Dr,3.54,2,3,5,2,2,0,0,0,0,14
622 SRIF_F_19 ,4987-41 Dr,6.53,2,13,10,6,0,0,0,0,0,31
622 SRIF_F_19 ,4987-42 Dr,6.53,2,13,10,6,0,0,0,0,0,31
614 SRIF_F_17 (S) ,4987-41 Dr,1.91,9,4,1,0,0,0,0,0,0,14
614 SRIF_F_17 (S) ,4987-42 Dr,1.91,9,4,1,0,0,0,0,0,0,14
606 SRIF_F_17 (S) ,4987-41 Dr,3.59,6,2,6,2,1,0,0,0,0,17
606 SRIF_F_17 (S) ,4987-42 Dr,3.59,6,2,6,2,1,0,0,0,0,17
626 SRIF_F_20-29 ,4987-41 Dr,4.22,7,5,7,3,0,0,0,0,0,22
626 SRIF_F_20-29 ,4987-42 Dr,4.22,7,5,7,3,0,0,0,0,0,22
599 SRIF_F_16 (S) ,4987-41 Dr,3.47,0,1,10,3,0,0,0,0,0,14
599 SRIF_F_16 (S) ,4987-42 Dr,3.47,0,1,10,3,0,0,0,0,0,14
604 SRIF_F_16 (S) ,4987-41 Dr,3.43,3,9,6,1,0,0,0,0,0,19
604 SRIF_F_16 (S) ,4987-42 Dr,3.43,3,9,6,1,0,0,0,0,0,19
619 SRIF_F_18 (S) ,4987-41 Dr,5.13,2,9,8,2,2,0,0,0,0,23
619 SRIF_F_18 (S) ,4987-42 Dr,5.13,2,9,8,2,2,0,0,0,0,23
1805 SRIF_F_16 (S) ,4987-41 Dr,4.17,0,11,8,2,0,0,0,0,0,21
1805 SRIF_F_16 (S) ,4987-42 Dr,4.17,0,11,8,2,0,0,0,0,0,21

Judge Info,d,diffL0.5,diffL1,diffL2,diffL3,diffL4,diffL5,diffL6,diffL7,diffL8,Avg Clicks/Heat,Heat Count
4987-31 Dm,11.66,0,42,140,184,278,99,33,17,0,24.03,33
4987-32 Dm,11.47,0,39,98,213,243,120,34,14,0,23.06,33

4987 Dm Avg Diff vs Judge Scores
Entry,Davg,4987-31 Dm,4987-32 Dm
626 SRIF_F_20-29 ,21.05,21.39,20.71
616 SRIF_F_18 (S) ,20.4,20.49,20.31
608 SRIF_F_17 (S) ,17.6,19.21,15.99
625 SRIF_F_20-29 ,17.01,16.96,17.06
599 SRIF_F_16 (S) ,16.58,17.97,15.19
624 SRIF_F_19 ,16.13,15.64,16.63
607 SRIF_F_17 (S) ,14.65,14.48,14.82
619 SRIF_F_18 (S) ,14.6,13.33,15.87
612 SRIF_F_17 (S) ,14.01,14.24,13.78
623 SRIF_F_19 ,13.78,16.08,11.48
610 SRIF_F_17 (S) ,13.71,13.6,13.82
621 SRIF_F_19 ,12.86,11.31,14.4
630 SRIF_F_20-29 ,12.78,13.06,12.49
615 SRIF_F_18 (S) ,12.75,13.57,11.92
611 SRIF_F_17 (S) ,12.34,12.33,12.34
627 SRIF_F_20-29 ,12.12,12.65,11.6
606 SRIF_F_17 (S) ,11.98,12.49,11.48
631 SRIF_F_20-29 ,11.72,10.96,12.48
602 SRIF_F_16 (S) ,11.45,12.66,10.24
618 SRIF_F_18 (S) ,11.37,12.0,10.73
629 SRIF_F_20-29 ,10.18,9.67,10.69
604 SRIF_F_16 (S) ,9.88,9.29,10.46
617 SRIF_F_18 (S) ,9.64,10.3,8.98
613 SRIF_F_17 (S) ,9.1,9.15,9.05
600 SRIF_F_16 (S) ,9.02,9.03,9
1805 SRIF_F_16 (S) ,8.76,9.25,8.27
622 SRIF_F_19 ,8.58,8.63,8.53
620 SRIF_F_18 (S) ,8.05,7.72,8.39
603 SRIF_F_16 (S) ,6.75,5.84,7.66
609 SRIF_F_17 (S) ,5.88,5.05,6.72
601 SRIF_F_16 (S) ,5.58,5.13,6.04
614 SRIF_F_17 (S) ,0.95,0.99,0.91
605 SRIF_F_16 (S) ,0.45,0.3,0.6

4987 Dm Relative Rankings
Entry,Rank,4987-31 Dm,4987-32 Dm
626 SRIF_F_20-29 ,1,1,1
616 SRIF_F_18 (S) ,2,2,2
608 SRIF_F_17 (S) ,3,3,5
625 SRIF_F_20-29 ,4,5,3
599 SRIF_F_16 (S) ,5,4,7
624 SRIF_F_19 ,6,7,4
607 SRIF_F_17 (S) ,7,8,8
619 SRIF_F_18 (S) ,8,12,6
612 SRIF_F_17 (S) ,9,9,11
623 SRIF_F_19 ,10,6,17
610 SRIF_F_17 (S) ,11,10,10
621 SRIF_F_19 ,12,19,9
630 SRIF_F_20-29 ,13,13,12
615 SRIF_F_18 (S) ,14,11,15
611 SRIF_F_17 (S) ,15,17,14
627 SRIF_F_20-29 ,16,15,16
606 SRIF_F_17 (S) ,17,16,18
631 SRIF_F_20-29 ,18,20,13
602 SRIF_F_16 (S) ,19,14,22
618 SRIF_F_18 (S) ,20,18,19
629 SRIF_F_20-29 ,21,22,20
604 SRIF_F_16 (S) ,22,23,21
617 SRIF_F_18 (S) ,23,21,25
613 SRIF_F_17 (S) ,24,25,23
600 SRIF_F_16 (S) ,25,26,24
1805 SRIF_F_16 (S) ,26,24,28
622 SRIF_F_19 ,27,27,26
620 SRIF_F_18 (S) ,28,28,27
603 SRIF_F_16 (S) ,29,29,29
609 SRIF_F_17 (S) ,30,31,30
601 SRIF_F_16 (S) ,31,30,31
614 SRIF_F_17 (S) ,32,32,32
605 SRIF_F_16 (S) ,33,33,33

Entry,Judge Info,d,diffL0.5,diffL1,diffL2,diffL3,diffL4,diffL5,diffL6,diffL7,diffL8,Total Clicks
609 SRIF_F_17 (S) ,4987-31 Dm,5.05,0,4,9,4,2,0,0,0,0,19
609 SRIF_F_17 (S) ,4987-32 Dm,6.72,0,5,6,6,5,0,0,0,0,22
603 SRIF_F_16 (S) ,4987-31 Dm,5.84,0,4,8,7,2,0,0,0,0,21
603 SRIF_F_16 (S) ,4987-32 Dm,7.66,0,6,5,9,5,0,0,0,0,25
630 SRIF_F_20-29 ,4987-31 Dm,13.06,0,0,0,5,7,5,2,1,0,20
630 SRIF_F_20-29 ,4987-32 Dm,12.49,0,0,0,5,7,5,3,0,0,20
611 SRIF_F_17 (S) ,4987-31 Dm,12.33,0,0,4,4,13,3,1,0,0,25
611 SRIF_F_17 (S) ,4987-32 Dm,12.34,0,0,0,6,12,4,1,0,0,23
601 SRIF_F_16 (S) ,4987-31 Dm,5.13,0,8,6,6,1,0,0,0,0,21
