Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
1009 SRDR_F_12-15 ,152,152,156,152.0,0.0,0.0,4.0
987 SRDR_X_11-12 ,130,129,130,130.0,0.0,1.0,0.0
1012 SRDR_F_12-15 ,148,150,151,150.5,2.5,0.5,0.5

Station: 4951 speed scores and cummulative difference from calculated score
Entry,4951-1,4951-2,4951-3,Calc'd Score,4951-1 Diff,4951-2 Diff,4951-3 Diff
917 SRDR_F_8 and under ,111,110,111,111.0,0.0,1.0,0.0
923 SRDR_X_8 and under ,9,9,8,9.0,0.0,0.0,1.0
1061 SRDR_F_19+ ,131,131,132,131.0,0.0,0.0,1.0
1021 SRDR_F_12-15 ,127,127,126,127.0,0.0,0.0,1.0
1056 SRDR_X_16-18 ,145,145,144,145.0,0.0,0.0,1.0
1003 SRDR_F_12-15 ,80,80,80,80.0,0.0,0.0,0.0
992 SRDR_X_11-12 ,110,110,110,110.0,0.0,0.0,0.0
979 SRDR_F_11-12 ,102,101,101,101.0,1.0,0.0,0.0
939 SRDR_F_9-10 ,105,105,105,105.0,0.0,0.0,0.0
935 SRDR_F_9-10 ,79,79,79,79.0,0.0,0.0,0.0
975 SRDR_F_11-12 ,123,122,123,123.0,0.0,1.0,0.0
1073 SRDR_F_30+ ,110,110,112,110.0,0.0,0.0,2.0
1064 SRDR_X_19+ ,186,187,185,186.5,0.5,0.5,1.5
1040 SRDR_M_12-15 ,86,86,86,86.0,0.0,0.0,0.0
982 SRDR_F_11-12 ,119,119,117,119.0,0.0,0.0,2.0
1051 SRDR_F_16-18 ,151,150,151,151.0,0.0,1.0,0.0
1024 SRDR_F_12-15 ,137,136,0,136.5,0.5,0.5,136.5

Station: 4959 speed scores and cummulative difference from calculated score
Entry,4959-1,4959-2,4959-3,Calc'd Score,4959-1 Diff,4959-2 Diff,4959-3 Diff
969 SRDR_F_11-12 ,139,136,139,139.0,0.0,3.0,0.0
1016 SRDR_F_12-15 ,151,150,150,150.0,1.0,0.0,0.0
985 SRDR_F_11-12 ,67,80,68,67.5,0.5,12.5,0.5
1035 SRDR_M_12-15 ,126,127,125,126.5,0.5,0.5,1.5
933 SRDR_F_9-10 ,112,115,112,112.0,0.0,3.0,0.0
949 SRDR_X_9-10 ,109,115,109,109.0,0.0,6.0,0.0
1020 SRDR_F_12-15 ,154,153,155,154.5,0.5,1.5,0.5
1030 SRDR_X_12-15 ,144,145,142,144.5,0.5,0.5,2.5
1014 SRDR_F_12-15 ,163,164,162,163.5,0.5,0.5,1.5
991 SRDR_X_11-12 ,99,104,101,100.0,1.0,4.0,1.0
958 SRDR_M_9-10 ,109,114,110,109.5,0.5,4.5,0.5
1067 SRDR_M_19+ ,181,182,181,181.0,0.0,1.0,0.0
997 SRDR_M_11-12 ,139,141,139,139.0,0.0,2.0,0.0
928 SRDR_M_8 and under ,97,100,96,96.5,0.5,3.5,0.5

Station: 4999 speed scores and cummulative difference from calculated score
Entry,4999-1,4999-2,4999-3,Calc'd Score,4999-1 Diff,4999-2 Diff,4999-3 Diff
153 SRSS_F_13 (S) ,70,70,70,70.0,0.0,0.0,0.0
684 SRSS_M_11 (S) ,75,75,75,75.0,0.0,0.0,0.0
233 SRSS_F_20-29 ,83,83,84,83.0,0.0,0.0,1.0
80 SRSS_F_11 (S) ,72,72,72,72.0,0.0,0.0,0.0
195 SRSS_F_17 (S) ,82,82,82,82.0,0.0,0.0,0.0
62 SRSS_F_11 (S) ,57,59,58,58.5,1.5,0.5,0.5
